id,iso_a2,country,lifespan,quantifier,country_code,country_name,x2020,x2021,x2022,x2023,x2024,x2025,x2026,x2027,x2028,x2029,x2030,x2031,x2032,x2033,x2034,x2035,x2036,x2037,x2038,x2039,x2040,qpct,totalnets
Full CD: 70% target,BJ,Benin,3.5,8,BEN,Benin,12643123,12996895,13352864,13712828,14080072,14454199,14832937,15216009,15603721,15996446,16393827.000000002,16795573,17201982,17613873,18030402,18450172,18874268,19303369,19737070,20176029,20620647,0.08,3469376.6399999997
Full CD: 70% target,CD,Congo - Kinshasa,1,30,COD,Democratic Republic of the Congo,92853164,95894118,99010212,102262808,105625114,109075560,112607660,116225955,119929158,123716492,127582053,131523203.00000001,135538810,139626690,143789026,148025707,152323103,156665737,161055774,165502850,170013816,0.3,98192500.2
Full CD: 70% target,CD,Congo - Kinshasa,1.5,23,COD,Democratic Republic of the Congo,92853164,95894118,99010212,102262808,105625114,109075560,112607660,116225955,119929158,123716492,127582053,131523203.00000001,135538810,139626690,143789026,148025707,152323103,156665737,161055774,165502850,170013816,0.23,75280916.82000001
Full CD: 70% target,CD,Congo - Kinshasa,2,16,COD,Democratic Republic of the Congo,92853164,95894118,99010212,102262808,105625114,109075560,112607660,116225955,119929158,123716492,127582053,131523203.00000001,135538810,139626690,143789026,148025707,152323103,156665737,161055774,165502850,170013816,0.16,52369333.440000005
Full CD: 70% target,CD,Congo - Kinshasa,2.5,12,COD,Democratic Republic of the Congo,92853164,95894118,99010212,102262808,105625114,109075560,112607660,116225955,119929158,123716492,127582053,131523203.00000001,135538810,139626690,143789026,148025707,152323103,156665737,161055774,165502850,170013816,0.12,39277000.08
Full CD: 70% target,CD,Congo - Kinshasa,3,10,COD,Democratic Republic of the Congo,92853164,95894118,99010212,102262808,105625114,109075560,112607660,116225955,119929158,123716492,127582053,131523203.00000001,135538810,139626690,143789026,148025707,152323103,156665737,161055774,165502850,170013816,0.1,32730833.4
Full CD: 70% target,CD,Congo - Kinshasa,3.5,8,COD,Democratic Republic of the Congo,92853164,95894118,99010212,102262808,105625114,109075560,112607660,116225955,119929158,123716492,127582053,131523203.00000001,135538810,139626690,143789026,148025707,152323103,156665737,161055774,165502850,170013816,0.08,26184666.720000003
Full CD: 70% target,CG,Congo - Brazzaville,1,29,COG,Congo,5702174,5835806,5970424,6106869,6244548,6383738,6525028,6668564,6814649,6963560,7114987,7268403,7423724,7580970,7740041,7900720,8062410,8225004.000000001,8388788,8553624,8719512,0.29,5554461.06
Full CD: 70% target,CG,Congo - Brazzaville,1.5,25,COG,Congo,5702174,5835806,5970424,6106869,6244548,6383738,6525028,6668564,6814649,6963560,7114987,7268403,7423724,7580970,7740041,7900720,8062410,8225004.000000001,8388788,8553624,8719512,0.25,4788328.5
Full CD: 70% target,CG,Congo - Brazzaville,2,15,COG,Congo,5702174,5835806,5970424,6106869,6244548,6383738,6525028,6668564,6814649,6963560,7114987,7268403,7423724,7580970,7740041,7900720,8062410,8225004.000000001,8388788,8553624,8719512,0.15,2872997.0999999996
Full CD: 70% target,CG,Congo - Brazzaville,2.5,12,COG,Congo,5702174,5835806,5970424,6106869,6244548,6383738,6525028,6668564,6814649,6963560,7114987,7268403,7423724,7580970,7740041,7900720,8062410,8225004.000000001,8388788,8553624,8719512,0.12,2298397.6799999997
Full CD: 70% target,CG,Congo - Brazzaville,3,9,COG,Congo,5702174,5835806,5970424,6106869,6244548,6383738,6525028,6668564,6814649,6963560,7114987,7268403,7423724,7580970,7740041,7900720,8062410,8225004.000000001,8388788,8553624,8719512,0.09,1723798.2599999998
Full CD: 70% target,CG,Congo - Brazzaville,3.5,8,COG,Congo,5702174,5835806,5970424,6106869,6244548,6383738,6525028,6668564,6814649,6963560,7114987,7268403,7423724,7580970,7740041,7900720,8062410,8225004.000000001,8388788,8553624,8719512,0.08,1532265.12
Full CD: 70% target,CI,Côte d’Ivoire,1,30,CIV,Côte d'Ivoire,26811790,27478249,28160542,28873034,29603302,30344181,31095448,31857148,32630380,33415862,34211272,35016385,35831986,36657338,37489206,38326368,39169609,40018237,40870342,41725788,42586278,0.3,27312879.299999997
Full CD: 70% target,CI,Côte d’Ivoire,1.5,23,CIV,Côte d'Ivoire,26811790,27478249,28160542,28873034,29603302,30344181,31095448,31857148,32630380,33415862,34211272,35016385,35831986,36657338,37489206,38326368,39169609,40018237,40870342,41725788,42586278,0.23,20939874.13
Full CD: 70% target,CI,Côte d’Ivoire,2,16,CIV,Côte d'Ivoire,26811790,27478249,28160542,28873034,29603302,30344181,31095448,31857148,32630380,33415862,34211272,35016385,35831986,36657338,37489206,38326368,39169609,40018237,40870342,41725788,42586278,0.16,14566868.96
Full CD: 70% target,CI,Côte d’Ivoire,2.5,12,CIV,Côte d'Ivoire,26811790,27478249,28160542,28873034,29603302,30344181,31095448,31857148,32630380,33415862,34211272,35016385,35831986,36657338,37489206,38326368,39169609,40018237,40870342,41725788,42586278,0.12,10925151.719999999
Full CD: 70% target,CI,Côte d’Ivoire,3,10,CIV,Côte d'Ivoire,26811790,27478249,28160542,28873034,29603302,30344181,31095448,31857148,32630380,33415862,34211272,35016385,35831986,36657338,37489206,38326368,39169609,40018237,40870342,41725788,42586278,0.1,9104293.100000001
Full CD: 70% target,CI,Côte d’Ivoire,3.5,8,CIV,Côte d'Ivoire,26811790,27478249,28160542,28873034,29603302,30344181,31095448,31857148,32630380,33415862,34211272,35016385,35831986,36657338,37489206,38326368,39169609,40018237,40870342,41725788,42586278,0.08,7283434.48
Full CD: 70% target,CM,Cameroon,1,30,CMR,Cameroon,26491087,27198628,27914536,28647293,29394433,30150781,30914482,31686360,32466454,33255398,34051102,34852730,35661603,36480529,37308723,38142790,38983916,39833668,40690719,41554156,42424030,0.3,27137908.799999997
Full CD: 70% target,CM,Cameroon,1.5,23,CMR,Cameroon,26491087,27198628,27914536,28647293,29394433,30150781,30914482,31686360,32466454,33255398,34051102,34852730,35661603,36480529,37308723,38142790,38983916,39833668,40690719,41554156,42424030,0.23,20805730.08
Full CD: 70% target,CM,Cameroon,2,16,CMR,Cameroon,26491087,27198628,27914536,28647293,29394433,30150781,30914482,31686360,32466454,33255398,34051102,34852730,35661603,36480529,37308723,38142790,38983916,39833668,40690719,41554156,42424030,0.16,14473551.36
Full CD: 70% target,CM,Cameroon,2.5,12,CMR,Cameroon,26491087,27198628,27914536,28647293,29394433,30150781,30914482,31686360,32466454,33255398,34051102,34852730,35661603,36480529,37308723,38142790,38983916,39833668,40690719,41554156,42424030,0.12,10855163.52
Full CD: 70% target,CM,Cameroon,3,10,CMR,Cameroon,26491087,27198628,27914536,28647293,29394433,30150781,30914482,31686360,32466454,33255398,34051102,34852730,35661603,36480529,37308723,38142790,38983916,39833668,40690719,41554156,42424030,0.1,9045969.600000001
Full CD: 70% target,CM,Cameroon,3.5,8,CMR,Cameroon,26491087,27198628,27914536,28647293,29394433,30150781,30914482,31686360,32466454,33255398,34051102,34852730,35661603,36480529,37308723,38142790,38983916,39833668,40690719,41554156,42424030,0.08,7236775.68
Full CD: 70% target,GA,Gabon,1,33,GAB,Gabon,2292573,2341179,2388992,2436566,2484558,2532884,2581236,2629578,2677790,2726063,2774522,2823293,2872311,2921510,2970796,3020240,3069919,3119671,3169407,3219237,3269247,0.33,2507563.74
Full CD: 70% target,GA,Gabon,1.5,26,GAB,Gabon,2292573,2341179,2388992,2436566,2484558,2532884,2581236,2629578,2677790,2726063,2774522,2823293,2872311,2921510,2970796,3020240,3069919,3119671,3169407,3219237,3269247,0.26,1975656.2799999998
Full CD: 70% target,GA,Gabon,2,18,GAB,Gabon,2292573,2341179,2388992,2436566,2484558,2532884,2581236,2629578,2677790,2726063,2774522,2823293,2872311,2921510,2970796,3020240,3069919,3119671,3169407,3219237,3269247,0.18,1367762.04
Full CD: 70% target,GA,Gabon,2.5,14,GAB,Gabon,2292573,2341179,2388992,2436566,2484558,2532884,2581236,2629578,2677790,2726063,2774522,2823293,2872311,2921510,2970796,3020240,3069919,3119671,3169407,3219237,3269247,0.14,1063814.9200000002
Full CD: 70% target,GA,Gabon,3,11,GAB,Gabon,2292573,2341179,2388992,2436566,2484558,2532884,2581236,2629578,2677790,2726063,2774522,2823293,2872311,2921510,2970796,3020240,3069919,3119671,3169407,3219237,3269247,0.11,835854.5800000001
Full CD: 70% target,GA,Gabon,3.5,9,GAB,Gabon,2292573,2341179,2388992,2436566,2484558,2532884,2581236,2629578,2677790,2726063,2774522,2823293,2872311,2921510,2970796,3020240,3069919,3119671,3169407,3219237,3269247,0.09,683881.02
Full CD: 70% target,GH,Ghana,1,33,GHA,Ghana,32180402,32833031.000000004,33475870.000000004,34121985,34777522,35439785,36102736,36767488,37435099,38104805,38775850,39447704,40121418,40797660,41475941,42158202,42844158,43533064,44223240,44910363,45595915,0.33,35085614.190000005
Full CD: 70% target,GH,Ghana,1.5,26,GHA,Ghana,32180402,32833031.000000004,33475870.000000004,34121985,34777522,35439785,36102736,36767488,37435099,38104805,38775850,39447704,40121418,40797660,41475941,42158202,42844158,43533064,44223240,44910363,45595915,0.26,27643211.18
Full CD: 70% target,GH,Ghana,2,18,GHA,Ghana,32180402,32833031.000000004,33475870.000000004,34121985,34777522,35439785,36102736,36767488,37435099,38104805,38775850,39447704,40121418,40797660,41475941,42158202,42844158,43533064,44223240,44910363,45595915,0.18,19137607.74
