"","V1","V2","V3","hhsize"
"1",-0.0866659579680412,0.571666287696133,1.45651419448204,1
"2",1.40474492168686,2.13604723968995,3.10307026153066,1
"3",2.89615580134538,3.70042819168351,4.74962632857925,1
"4",4.38756668100559,5.26480914367648,6.39618239562786,1
"5",5.87897756064038,6.82919009566656,8.04273846267633,1
"6",7.370388440193,8.39357104764907,9.68929452972333,1
"7",8.86179931968186,9.95795199962625,11.3358505967693,1
"8",10.3532101989842,11.5223329515873,12.9824066638123,1
"9",11.8446210780923,13.0867139035292,14.6289627308525,1
"10",13.3360319569002,14.6510948554264,16.2755187978853,1
"11",14.8274428349944,16.2154758071916,17.9220748648935,1
"12",16.318853712302,17.7798567587692,19.568630931854,1
"13",17.8102645878181,19.3442377097007,21.2151869986777,1
"14",19.3016754598951,20.9042195647184,22.8612834221502,1
"15",20.7930863229519,22.4309087261348,24.436232818583,1
"16",22.2844971776468,23.9575978874466,26.0092659151226,1
"17",23.7759080289033,25.4842870486988,27.582299011651,1
"18",25.2673188695062,27.0109762098449,29.155332108164,1
"19",26.7587296980358,28.5376653708868,30.7283652046664,1
"20",28.1776578677297,30.064354531712,32.3013983011594,1
"21",29.5031817650135,31.5910436919671,33.8744313976337,1
"22",30.8287056506542,33.1125155885596,35.4474644940919,1
"23",32.1542295331764,34.5164327082904,37.0204975905378,1
"24",33.4797534132105,35.9203498237379,38.593530686954,1
"25",34.8052772915853,37.3242669386412,40.1665637832336,1
"26",36.130801168789,38.7281840535132,41.6568343633232,1
"27",37.4563250451561,40.1321011683228,43.11292217527,1
"28",38.7818489207812,41.5360182830893,44.5690099871421,1
"29",40.1073727958158,42.9399353978231,46.0250977989554,1
"30",41.4328966698624,44.3438525124996,47.4048434215764,1
"31",42.7584205428957,45.7477696271111,48.7033347096949,1
"32",44.0839444152468,47.1516867416872,50.0018259977873,1
"33",45.4094682867474,48.5556038562337,51.3003172858676,1
"34",46.7349921568941,49.959520970749,52.5988085739371,1
"35",48.060516024696,51.3634380852248,53.8972998619956,1
"36",49.3860398891623,52.7673551996386,55.1957911500403,1
"37",50.7115637461564,54.1712723139124,56.4942824380654,1
"38",52.0370875782326,55.5751894279745,57.7927737260766,1
"39",53.3626113922005,56.979106541852,59.0912650140769,1
"40",54.5426994817017,58.3830236554067,60.3897563020672,1
"41",55.6151300916851,59.5459611481702,61.688247590022,1
"42",56.687560612455,60.5800241816827,62.9642490322502,1
"43",57.6947277955419,61.6140872142425,64.1385521004918,1
"44",58.6523808087156,62.6481502465282,65.3128551686156,1
"45",59.6100338138007,63.6822132786508,66.4871582366956,1
"46",60.5676868146421,64.7162763106495,67.6614613047424,1
"47",61.5253398140981,65.7503393425854,68.8357643727657,1
"48",62.4829928125332,66.7844023744183,70.0100674407162,1
"49",63.4406458104564,67.8184654062041,71.1843705086372,1
"50",64.3982988081621,68.8525284379641,72.3586735765353,1
"51",65.3559518056322,69.8865914696856,73.5329766443875,1
"52",66.3136048029496,70.9206545013788,74.7072797122168,1
"53",67.2712578000354,71.9547175330285,75.8815827800256,1
"54",68.2289107969078,72.9887805646173,77.0558858478172,1
"55",69.1865637932975,74.0228435958829,78.2148022015234,1
"56",70.1442167889452,74.8787488204533,78.8499765141292,1
"57",71.1018697838,75.6222793153701,79.4350197931819,1
"58",72.0595227781805,76.3658098101991,80.0200630722295,1
"59",73.0171757709908,77.109340304928,80.6051063512659,1
"60",73.9748287625395,77.8528707995313,81.1901496302976,1
"61",74.932481752691,78.5642294620571,81.7751929093261,1
"62",75.8901347395139,79.2182459829757,82.3602361883506,1
