"","V1","V2","V3","hhsize","npc"
"1",-0.136085848088663,0.215082082915389,0.383222236293224,0,1
"2",1.27722638803335,1.70731691186397,1.97596369843682,0,2
"3",2.69053862415561,3.19955174081269,3.5687051605803,0,3
"4",4.10385086027848,4.69178656976097,5.16144662272326,0,4
"5",5.51716309640137,6.18402139870805,6.75418808486553,0,5
"6",6.93047533252377,7.6762562276534,8.34692954700708,0,6
"7",8.34378756864517,9.16849105659583,9.93967100914764,0,7
"8",9.75709980476471,10.660725885533,11.5324124712866,0,8
"9",11.1704120408831,12.1529607144669,13.1251539334247,0,9
"10",12.5837242769995,13.6451955433952,14.7178953955613,0,10
"11",13.9970365131139,15.1374303723172,16.3106368576964,0,11
"12",15.410348749226,16.6296652012317,17.9033783198297,0,12
"13",16.8236609853311,18.1219000301216,19.4961197819574,0,13
"14",18.2369732214308,19.6141348589905,21.0888612440797,0,14
"15",19.6502854575147,21.1063696877912,22.6816027061847,0,15
"16",21.0635976935812,22.5986045165173,24.2743441682712,0,16
"17",22.4769099296275,24.0908393451687,25.8670856303355,0,17
"18",23.8902221656658,25.5830741737907,27.459827092389,0,18
"19",25.3035344016943,27.0753090023596,29.0525685543567,0,19
"20",26.7168466376561,28.5675438304005,30.4984330164065,0,20
"21",28.1067247977451,29.9303627118546,31.9430330570117,0,21
"22",29.3297703095975,31.2475716920868,33.3876330974696,0,22
"23",30.5528158212588,32.5647806721211,34.832233137885,0,23
"24",31.7758613328855,33.8819896520981,36.2768331782758,0,24
"25",32.9989068444825,35.1991986320201,37.7214332186434,0,25
"26",34.2219523560672,36.5164076119174,39.1660332589991,0,26
"27",35.4449978676315,37.8336165917748,40.6106332993309,0,27
"28",36.6680433791841,39.1508255716108,42.0552333396479,0,28
"29",37.891088890731,40.4680345514344,43.4998333799557,0,29
"30",39.1141344022709,41.78524353124,44.9444334202502,0,30
"31",40.3371799137995,43.102452511007,46.3890334605174,0,31
"32",41.5602254253202,44.419661490742,47.8336335007631,0,32
"33",42.7832709368339,45.7368704704352,49.2782335409872,0,33
"34",44.0063164483376,47.0540794500584,50.7228335811781,0,34
"35",45.2293619598212,48.3712884294845,52.1674336212962,0,35
"36",46.452407471296,49.6884974087944,53.6120336613887,0,36
"37",47.6754529827507,51.0057063873654,55.0566337013894,0,37
"38",48.8984984941844,52.2212191556055,56.3360700092866,0,38
"39",50.1215440056171,53.4216906303991,57.5910779125293,0,39
"40",51.344589517039,54.6221621051322,58.8460858157643,0,40
"41",52.5676350283731,55.8226335786357,60.1010937189293,0,41
"42",53.6187269635977,56.7836752583136,61.3561016220284,0,42
"43",54.5606258895832,57.6116073650109,62.4235304561251,0,43
"44",55.5025248154085,58.4395394716109,63.2448914963486,0,44
"45",56.4444237404897,59.2674715781712,64.0662525365145,0,45
"46",57.3863226653516,60.0954036846941,64.8876135766513,0,46
"47",58.328221590146,60.9233357911923,65.7089746167691,0,47
"48",59.2701205149032,61.751267897676,66.5303356568748,0,48
"49",60.2120194396191,62.579200004142,67.3516966969637,0,49
"50",61.1539183642885,63.4071321105879,68.1730577370333,0,50
"51",62.0958172888904,64.2350642170141,68.9944187770781,0,51
"52",63.0377162134191,65.0629963234112,69.8012468309874,0,52
"53",63.8321997262118,65.8909284297368,70.6029988616299,0,53
"54",64.6014804903704,66.7188605358156,71.4047508922596,0,54
"55",65.3707612544217,67.5446839667517,72.2065029228724,0,55
"56",66.1400420183247,68.364873515223,73.008254953457,0,56
"57",66.909322782202,69.18506306357,73.8100069840349,0,57
"58",67.6786035460446,70.0052526118671,74.6117590146023,0,58
"59",68.4478843098724,70.8254421601444,75.4135110451642,0,59
"60",69.2171650736759,71.6456317083884,76.2152630757171,0,60
"61",69.9864458374641,72.4658212566123,77.0170151062643,0,61
"62",70.755726601247,73.2860108048297,77.8187671368095,0,62
"63",71.5250073650209,74.1062003530369,78.6205191673518,0,63
"64",72.2942881287847,74.9263899012328,79.4222711978911,0,64
"65",73.063568892539,75.746579449418,80.2240232284276,0,65
"66",73.8328496562779,76.5667689975873,81.0257752589607,0,66
"67",74.6021304200069,77.3869585457469,81.8275272894915,0,67
"68",75.3714111837358,78.2071480939065,82.6292793200224,0,68
"69",76.1406919474549,79.0273376420571,83.4310313505516,0,69
"70",76.9099727111637,79.8475271901991,84.2327833810791,0,70
"71",77.6792534748724,80.667716738341,85.0345354116065,0,71
"72",78.4485342385811,81.4879062864829,85.836287442134,0,72
"73",79.2178150022791,82.3080958346119,86.638039472659,0,73
"74",79.9870957659703,83.1282853827325,87.4397915031823,0,74
"75",80.7563765296616,83.9484749308531,88.2415435337057,0,75
"76",81.5256572933528,84.7686644789736,89.043295564229,0,76
"77",82.294938057044,85.5888540270942,89.8450475947523,0,77
"78",83.0642188207352,86.4090435752148,90.6467996252757,0,78
"79",83.8334995844264,87.2292331233353,91.448551655799,0,79
"80",84.6027803481176,88.0494226714559,92.2503036863224,0,80
"81",85.3720611118089,88.8696122195765,93.0520557168457,0,81
"82",86.1413418755001,89.689801767697,93.853807747369,0,82
"83",86.9106226391913,90.5099913158176,94.6555597778924,0,83
"84",87.6799034028825,91.3301808639382,95.4573118084157,0,84
"85",88.4491841665738,92.1503704120587,96.2590638389391,0,85
"86",89.2184649302643,92.9705599601785,97.0608158694623,0,86
"87",89.987745693953,93.790749508296,97.8625678999853,0,87
"88",90.7570264576418,94.6109390564135,98.6643199305083,0,88
"89",91.5263072213305,95.431128604531,99.4660719610313,0,89
"90",92.295587985018,96.2513181526472,100.267823991554,0,90
